Fiscal Year Ending,Department/Agency,Merchant Name,Transaction Date,Transaction Amount
2018,Office of Family Safety,KRISPY KREME DOUGH,06/27/2018,19.78
2018,Mayor's Office,SQU SQ  M A GRACE CATE,06/27/2018,12.59
2018,Office of Family Safety,SQ  SQ  ALLIANCE FOR H,06/27/2018,4800.00
2018,Parks and Recreation,WAL-MART #3717,06/27/2018,18.03
2018,Social Services,AMAZON.COM AMZN.COM/BI,06/27/2018,32.76
2018,Metro Action Commission,PANERA BREAD #600820,06/27/2018,268.41
2018,Parks and Recreation,ACE HARDWARE,06/27/2018,12.99
2018,Arts Commission,ADOBE  CREATIVE CLOUD,06/27/2018,599.88
2018,Metro Action Commission,MOES ONLINE #739,06/27/2018,421.59
2018,Finance,BEST BUY      00001727,06/27/2018,229.99
2018,Police,NATIONAL TECHNICAL INV,06/27/2018,3025.00
2018,Police,PRO H2O AUTO WASH,06/27/2018,8.00
2018,Health,AMAZON MKTPLACE PMTS,06/27/2018,655.47
2018,Office of Family Safety,ASANA.COM,06/27/2018,375.00
2018,Police,SUBWAY        03459583,06/27/2018,60.85
2018,Police,SAMSCLUB #8294,06/27/2018,284.81
2018,Parks and Recreation,REGAL CINEMAS OPRY MIL,06/27/2018,60.00
2018,Library,JAMES M PLEASANTS,06/27/2018,86.70
2018,Police,NATIONAL TECHNICAL INV,06/27/2018,500.00
2018,Mayor's Office,COSTCO  PHOTO CENTER,06/27/2018,13.54
2018,Juvenile Court Judge,SUBWAY        03166790,06/27/2018,28.95
2018,Police,PUBLIX #1235,06/27/2018,91.92
2018,Legal,DELTA,06/26/2018,25.00
2018,Farmers Market,SQU SQ  SOUTHERN ROOTS,06/26/2018,12.20
2018,Legal,DELTA,06/26/2018,25.00
2018,Public Works,J G PRESS (BIOCYCLE),06/26/2018,74.00
2018,Nashville Career Advancement Center,PANERA BREAD #601794,06/26/2018,129.95
2018,General Sessions Court,CHROMATICS,06/26/2018,132.50
2018,Office of Family Safety,PLAYTHERAPYSUPPLY.COM,06/26/2018,739.94
2018,Police,OFFICEMAX/DEPOT 6557,06/26/2018,45.63
2018,Police,BOSTON GLOBE SUBSCRPT,06/26/2018,27.72
2018,Police,KROGER #518,06/26/2018,39.41
2018,Office of Family Safety,PAYPAL  NONPROFMGMT,06/26/2018,378.00
2018,Office of Family Safety,AMAZON MKTPLACE PMTS,06/26/2018,22.44
2018,Water Services,AMERICAN PUBLIC WORKS,06/26/2018,1080.00
2018,Public Works,SOLID WASTE ASSOCIA,06/26/2018,550.00
2018,Metro Action Commission,PARTY CITY 388,06/25/2018,367.91
2018,Justice Integration Services,RAINFOCVMWARE VMWORLD,06/25/2018,2095.00
2018,Library,MARRIOTT,06/25/2018,489.84
2018,Parks and Recreation,SAMSCLUB #8294,06/25/2018,223.22
2018,Police,SOUTHWEST AIRLINES,06/25/2018,678.28
2018,State Trial Courts,MICHAELANGELO'S PIZZA,06/25/2018,105.97
2018,Justice Integration Services,PRICELINE HOTEL ROOMS,06/25/2018,689.90
2018,Social Services,AMAZON.COM AMZN.COM/BI,06/25/2018,-6.92
2018,Parks and Recreation,5411 DOMINOS PIZZA,06/25/2018,100.99
2018,Library,THE HOME DEPOT #0733,06/25/2018,74.50
2018,Parks and Recreation,WM SUPERCENTER #3717,06/25/2018,40.28
2018,Justice Integration Services,SOUTHWEST AIRLINES,06/25/2018,15.00
2018,Justice Integration Services,SOUTHWEST AIRLINES,06/25/2018,15.00
2018,Justice Integration Services,SOUTHWEST AIRLINES,06/25/2018,15.00
2018,Justice Integration Services,SOUTHWEST AIRLINES,06/25/2018,15.00
2018,Police,POTBELLY #367,06/25/2018,10.44
2018,Police,SOUTHWEST AIRLINES,06/25/2018,560.96
2018,Police,RENAISSANCE HOTELS,06/25/2018,185.96
2018,Sheriff,DAVIDSON FARMERS COOP,06/25/2018,17.86
2018,Police,RENAISSANCE HOTELS,06/25/2018,185.96
2018,Finance,UT IPS ONLINE,06/25/2018,100.00
2018,Justice Integration Services,EVENTCORE,06/25/2018,2395.00
2018,Library,WESTIN,06/25/2018,1128.60
2018,Health,WM SUPERCENTER #5058,06/25/2018,22.76
2018,Justice Integration Services,SOUTHWEST AIRLINES,06/25/2018,373.96
2018,Water Services,BENJAMIN MEDIA,06/25/2018,620.00
2018,Police,SUBWAY        00032748,06/25/2018,766.40
2018,Parks and Recreation,RIVERGATE SKATE CENTER,06/25/2018,314.50
2018,Parks and Recreation,AMAZON.COM AMZN.COM/BI,06/25/2018,473.22
2018,Police,BUBBA GUMP BALTIMORE,06/25/2018,19.72
2018,Justice Integration Services,SOUTHWEST AIRLINES,06/25/2018,319.78
2018,District Attorney,AMERICAN AIRLINES,06/25/2018,-1162.40
2018,State Trial Courts,MICHAELANGELO'S PIZZA,06/25/2018,121.65
2018,General Sessions Court,NASHVILLE BAR ASSOCIAT,06/25/2018,250.00
2018,Parks and Recreation,WM SUPERCENTER #3717,06/25/2018,79.56
2018,Sheriff,JOANN STORES #2305,06/25/2018,17.88
2018,Finance,SHRM SHRMSTORE10016883,06/25/2018,229.00
2018,Office of Family Safety,AMAZON MKTPLACE PMTS,06/25/2018,177.61
2018,Police,GREENE MILITARY NAS,06/25/2018,74.00
2018,Metro Action Commission,PARTY CITY 388,06/25/2018,31.99
2018,Planning,USPS PO 4761630296,06/25/2018,72.50
2018,Health,THE HOME DEPOT #0778,06/25/2018,13.94
2018,Police,POTBELLY #367,06/25/2018,7.00
2018,Water Services,LIPSCOMB UNIVERSITY,06/25/2018,595.00
2018,Parks and Recreation,SAMSCLUB #8294,06/25/2018,242.11
2018,Office of Family Safety,THE VIDEO COMPANY LLC,06/25/2018,-135.43
2018,State Trial Courts,PIZZA HUT 439600043968,06/25/2018,75.47
2018,Davidson County Clerk,AMAZON.COM AMZN.COM/BI,06/25/2018,108.16
2018,Arts Commission,SQU SQ  TAZIKIS MEDITE,06/25/2018,-12.47
2018,Historical Commission,FREDPRYOR CAREERTRACK,06/25/2018,149.00
2018,Parks and Recreation,AMAZON.COM AMZN.COM/BI,06/25/2018,63.95
2018,Police,SOUTHWEST AIRLINES,06/25/2018,605.96
2018,Sheriff,LOGMEIN CENTRAL,06/25/2018,1599.99
2018,Parks and Recreation,DAVE & BUSTERS #42,06/25/2018,500.00
2018,Police,BUBBA GUMP BALTIMORE,06/25/2018,21.95
2018,District Attorney,COURTS/USDC-MI-W-GR,06/25/2018,14.00
2018,Justice Integration Services,SOUTHWEST AIRLINES,06/25/2018,464.60
2018,Davidson County Clerk,AMAZON MKTPLACE PMTS,06/25/2018,2.13
2018,Justice Integration Services,SOUTHWEST AIRLINES,06/25/2018,464.60
2018,Police,SOUTHWEST AIRLINES,06/25/2018,484.96
2018,District Attorney,AGENT FEE 89007417749460,06/22/2018,28.00
2018,Health,DELTA,06/22/2018,481.41
2018,Public Works,AENZI.COM,06/22/2018,65.00
2018,Office of Family Safety,BARNES & NOBLE #2701,06/22/2018,674.32
2018,Police,SOUTHWEST AIRLINES,06/22/2018,315.96
2018,Metro Action Commission,KROGER #502,06/22/2018,227.52
2018,Public Works,WAL-MART #4435,06/22/2018,28.44
2018,Farmers Market,SIMON'S PRODUCE,06/22/2018,17.00
2018,Water Services,WM SUPERCENTER #710,06/22/2018,284.50
2018,Library,OMNI HOTELS,06/22/2018,1191.45
2018,Water Services,"FERGUSON ENT, INC 20",06/22/2018,40.89
2018,Parks and Recreation,DTV DIRECTV SERVICE,06/22/2018,193.98
2018,State Trial Courts,MICHAELANGELO'S PIZZA,06/22/2018,108.93
2018,Fire Department,HARBOR FREIGHT CATALOG,06/22/2018,499.50
2018,Sheriff,MARRIOTT,06/22/2018,-0.01
2018,Metro Action Commission,WHOLEFDS GHL 10241,06/22/2018,243.56
2018,Trustee,TN PROPTAX PROFESS,06/22/2018,102.87
2018,Metro Action Commission,KROGER #502,06/22/2018,56.29
2018,General Sessions Court,PUBLIX #1298,06/22/2018,126.53
2018,Police,SOUTHWEST AIRLINES,06/22/2018,707.96
2018,Farmers Market,SMILEY'S PRODUCE,06/22/2018,10.00
2018,Farmers Market,SQU SQ  SOUTHERN ROOTS,06/22/2018,10.00
2018,Health,EB  ADDICTION SEVERITY,06/22/2018,60.00
2018,Office of Family Safety,AMAZON MKTPLACE PMTS,06/22/2018,29.99
2018,Water Services,FORKLIFT SYSTEMS,06/22/2018,491.75
2018,Trustee,TN PROPTAX PROFESS,06/22/2018,102.87
2018,Health,AGENT FEE 89007368983842,06/22/2018,70.00
2018,Library,AMAZON.COM AMZN.COM/BI,06/22/2018,23.03
2018,Parks and Recreation,BOSWELLS GOLF CARS,06/22/2018,14.00
2018,Office of Family Safety,AMAZON MKTPLACE PMTS,06/22/2018,33.66
2018,Sheriff,AMERICAN JAIL ASSOCIAT,06/22/2018,48.00
2018,Planning,AMERICAN PLANNING A,06/22/2018,295.00
2018,Metro Action Commission,CA DEPT OF ED PUBLICAT,06/22/2018,1450.60
2018,Police,DOLAN CONSULTING GROUP,06/22/2018,95.00
2018,Parks and Recreation,REGAL CINEMAS HLYWD 27,06/22/2018,254.80
2018,Health,DELTA,06/22/2018,481.41
2018,Parks and Recreation,WAL-MART #5616,06/22/2018,10.96
2018,Sheriff,MARRIOTT,06/22/2018,1044.73
2018,Health,EB  AMERICAN SOCIETY O,06/22/2018,45.00
2018,Farmers Market,SQU SQ  THE PEACH TRUC,06/22/2018,16.00
2018,General Sessions Court,NASHVILLE BAR ASSOCIAT,06/22/2018,250.00
2018,Office of Family Safety,AMAZON MKTPLACE PMTS,06/22/2018,94.42
2018,Office of Family Safety,OMNI HOTELS,06/21/2018,564.75
2018,Information Technology Services,USPS PO 4761560204,06/21/2018,6.70
2018,Health,NASHVILLEPRIDE.ORG,06/21/2018,40.00
2018,Health,WAL-MART #3717,06/21/2018,20.68
2018,Parks and Recreation,REGAL CINEMAS OPRY MIL,06/21/2018,55.00
2018,Parks and Recreation,HENDERSONVI CIRCUS WOR,06/21/2018,889.08
2018,Police,SOUTHWEST AIRLINES,06/21/2018,739.96
2018,Planning,PLANETIZEN  8772607526,06/21/2018,99.95
2018,Sheriff,THE COOKERY,06/21/2018,75.00
2018,District Attorney,PAYPAL  BLACKPROSEC,06/21/2018,850.00
2018,Fire Department,SOUTHWEST AIRLINES,06/21/2018,441.60
2018,Nashville Career Advancement Center,WM SUPERCENTER #5058,06/21/2018,31.26
2018,Nashville Career Advancement Center,WM SUPERCENTER #5058,06/21/2018,3.43
2018,Police,OFFICEMAX/DEPOT 6557,06/21/2018,5.95
2018,Information Technology Services,ADOBE  STOCK,06/21/2018,79.99
2018,Police,OFFICEMAX/DEPOT 6557,06/21/2018,5.95
2018,Public Works,PAYPAL  TRC,06/21/2018,400.00
2018,Health,NASHVILLEPRIDE.ORG,06/21/2018,40.00
2018,Parks and Recreation,SAMS CLUB #8294,06/21/2018,83.72
2018,Public Works,ASSOC OF PEDESTRIAN,06/21/2018,120.00
2018,Health,SHERATON,06/21/2018,139.77
2018,Parks and Recreation,SAMSCLUB #8294,06/21/2018,244.12
2018,Information Technology Services,NVILLESOUNDS TICKETS,06/21/2018,750.00
2018,Police,CAMEL EXPRESS CAR WASH,06/21/2018,10.00
2018,Social Services,INNOVATIVEF,06/21/2018,496.00
2018,Information Technology Services,IBT IIS FINGERPRINT CO,06/21/2018,32.65
2018,Sheriff,PAYPAL  NAAWS,06/21/2018,25.00
2018,Fire Department,SOUTHWEST AIRLINES,06/21/2018,441.60
2018,Public Works,SOUTHWEST AIRLINES,06/21/2018,309.96
2018,Health,THE HOME DEPOT #0778,06/21/2018,54.91
2018,General Sessions Court,NASHVILLE BAR ASSOCIAT,06/21/2018,215.00
2018,Finance,SOUTHWEST AIRLINES,06/21/2018,211.97
2018,Office of Family Safety,OMNI HOTELS,06/21/2018,564.75
2018,Health,2018 BEST FRIENDS NATI,06/21/2018,325.00
2018,Office of Family Safety,PAYPAL  PRAXIS INTL,06/21/2018,398.00
2018,Parks and Recreation,THE WOOD THRUSH SHOP,06/21/2018,150.95
2018,Social Services,SOUTHWEST AIRLINES,06/21/2018,527.96
2018,State Trial Courts,MICHAELANGELO'S PIZZA,06/21/2018,119.84
2018,Sheriff,BC.BASECAMP 1247330,06/21/2018,24.00
2018,Farmers Market,SQU SQ  THE PEACH TRUC,06/21/2018,8.00
2018,Parks and Recreation,TRACTOR-SUPPLY-CO #050,06/21/2018,26.97
2018,Arts Commission,NASHVILLE GLBT CHAMBER,06/21/2018,240.00
2018,Community Education,AMAZON MKTPLACE PMTS W,06/21/2018,50.40
2018,Juvenile Court Judge,KNOCKOUT WINGS 2,06/21/2018,90.75
2018,Public Works,AMERICAN PUBLIC WORKS,06/21/2018,829.00
2018,Office of Family Safety,OMNI HOTELS,06/21/2018,564.75
2018,State Trial Courts,KFC J575038,06/21/2018,104.97
2018,Police,OFFICEMAX/DEPOT 6557,06/21/2018,45.49
2018,Mayor's Office,COSTCO  PHOTO CENTER,06/21/2018,7.09
2018,Finance,SOUTHWEST AIRLINES,06/21/2018,15.00
2018,District Attorney,DALLAS CHILDRENS ADVOC,06/21/2018,3600.00
2018,District Attorney,PAYPAL  BLACKPROSEC,06/21/2018,850.00
2018,Fire Department,SOUTHWEST AIRLINES,06/21/2018,441.60
2018,Finance,SOUTHWEST AIRLINES,06/21/2018,15.00
2018,District Attorney,PAYPAL  BLACKPROSEC,06/21/2018,850.00
2018,Information Technology Services,IBT IIS FINGERPRINT CO,06/21/2018,32.65
2018,Historical Commission,NAMETAGCOUNTRY.COM,06/20/2018,12.23
2018,Parks and Recreation,DAVE & BUSTERS #42,06/20/2018,623.52
2018,Community Education,AMAZON MKTPLACE PMTS W,06/20/2018,100.83
2018,State Trial Courts,PAPA JOHNS #75,06/20/2018,54.13
2018,Health,IBT IIS FINGERPRINT CO,06/20/2018,32.65
2018,District Attorney,AGENT FEE 89071965352263,06/20/2018,78.00
2018,Farmers Market,SQ  SQ  FARM CITY COFF,06/20/2018,45.00
2018,Human Resources,MIDDLE TENNESSEE SHRM,06/20/2018,129.00
2018,Sheriff,THE SAFE HOUSE,06/20/2018,925.97
2018,Social Services,AMAZON.COM AMZN.COM/BI,06/20/2018,111.70
2018,Water Services,SHERATON,06/20/2018,523.45
2018,Farmers Market,TST  JENI S SPLENDID I,06/20/2018,164.00
2018,Parks and Recreation,STEINHOUSE SUPPLY CO,06/20/2018,4.48
2018,State Trial Courts,PAPA JOHNS #75,06/20/2018,65.63
2018,Library,WEST END LOCK CO,06/20/2018,30.00
2018,District Attorney,AGENT FEE 89071965352285,06/20/2018,78.00
2018,Juvenile Court Judge,QDOBA 2129,06/20/2018,291.50
2018,Tennessee State Fair,THE HOME DEPOT #0732,06/20/2018,130.38
2018,Internal Audit,AICPA   ORDER,06/20/2018,275.00
2018,Library,LOWES #00629,06/20/2018,96.47
2018,Police,MISTER CAR WASH #84QPS,06/20/2018,13.00
2018,Parks and Recreation,DAVE & BUSTERS #42,06/20/2018,520.00
2018,Water Services,BEST BUY MHT  00011304,06/19/2018,959.96
2018,Nashville Career Advancement Center,MTA ONLINE TICKET SALE,06/19/2018,200.00
2018,Parks and Recreation,ACTION BOLT AND SCREW,06/19/2018,4.08
2018,Arts Commission,HYATT HOTELS,06/19/2018,967.68
2018,Parks and Recreation,SQ  SQ  SKATE CENTER S,06/19/2018,270.00
2018,Arts Commission,RTD DUS COM RAIL,06/19/2018,9.00
2018,Farmers Market,SQU SQ  THE PEACH TRUC,06/19/2018,43.00
2018,Planning,NAMIFY LLC,06/19/2018,23.80
2018,Arts Commission,SQU SQ  TAZIKIS MEDITE,06/19/2018,169.43
2018,Parks and Recreation,SQ  SQ  SKATE CENTER S,06/19/2018,630.00
2018,Nashville Career Advancement Center,MTA ONLINE TICKET SALE,06/19/2018,3.50
2018,Library,LOWES #00629,06/19/2018,26.96
2018,Information Technology Services,RS DOMAINNAME REGISTE,06/19/2018,13.69
2018,Metro Action Commission,ENTERPRISE RENT-A-CAR,06/19/2018,225.00
2018,Office of Family Safety,EB  2018 CONNECTING FO,06/19/2018,345.17
2018,Farmers Market,SQU SQ  THE PEACH TRUC,06/19/2018,35.00
2018,Juvenile Court Judge,KROGER #880,06/19/2018,143.85
2018,Water Services,KY TN WATER PROFESSION,06/19/2018,4400.00
2018,Sheriff,ELDER BUILDING SUPPLY,06/19/2018,165.90
2018,Farmers Market,SQU SQ  FRESH AND LOCA,06/18/2018,7.50
2018,Office of Emergency Management,L2G PMVR SEARCH,06/18/2018,7.00
2018,Arts Commission,HYATT HOTELS,06/18/2018,1175.93
2018,Police,RESIDENCE INN,06/18/2018,673.48
2018,Police,RESIDENCE INN,06/18/2018,673.48
2018,Farmers Market,SQU SQ  KLD FARM LLC,06/18/2018,25.45
2018,Water Services,MANDALAY BAY RESORT,06/18/2018,920.68
2018,Library,ALPHABET SIGNS,06/18/2018,634.38
2018,Office of Family Safety,WYNDHAM,06/18/2018,940.28
2018,Metro Action Commission,ENTERPRISE RENT-A-CAR,06/18/2018,-253.32
2018,Metro Action Commission,THE INN AT OLE MISS,06/18/2018,615.25
2018,Library,HOTEL ST REGIS DETROIT,06/18/2018,100.80
2018,Farmers Market,SQ      SQ  BASS FARMS,06/18/2018,22.50
2018,Library,ALPHABET SIGNS,06/18/2018,-104.45
2018,Parks and Recreation,OFFICE DEPOT #2260,06/18/2018,72.99
2018,Health,HOLIDAY INNS,06/18/2018,103.00
2018,Health,AGENT FEE 89007366539766,06/18/2018,35.00
2018,Police,KRISPY KREME DOUGH,06/18/2018,62.23
2018,Sheriff,B&H PHOTO 800-606-696,06/18/2018,145.73
2018,Parks and Recreation,WALGREENS #5091,06/18/2018,22.02
2018,Sheriff,TAXI SVC NEW ORLEANS,06/18/2018,54.00
2018,Sheriff,MARRIOTT,06/18/2018,1004.66
2018,Sheriff,MARRIOTT,06/18/2018,1004.66
2018,Farmers Market,KROGER #895,06/18/2018,45.34
2018,Health,THE CHURCHILL HOTEL,06/18/2018,290.44
2018,Library,THIRD AVENUE INDUSTRIA,06/18/2018,22.64
2018,Information Technology Services,TELLY AWARDS,06/18/2018,437.44
2018,Public Works,AMERICAN PUBLIC WORKS,06/18/2018,250.00
2018,State Trial Courts,GALLS,06/18/2018,1032.31
2018,Office of Emergency Management,L2G TBI BACKGROUND CK,06/18/2018,29.00
2018,Water Services,AMER SOC CIVIL ENGINEE,06/18/2018,395.00
2018,Information Technology Services,TELLY AWARDS,06/18/2018,437.44
2018,Information Technology Services,IBT IIS FINGERPRINT CO,06/18/2018,32.65
2018,Social Services,INTOWN SUITES,06/18/2018,316.99
2018,Health,AGENT FEE 89007366539781,06/18/2018,35.00
2018,Metro Action Commission,HYATT HOTELS,06/18/2018,-360.14
2018,Arts Commission,TST  MENYA RAMEN DOWNT,06/18/2018,21.38
2018,Metro Action Commission,HYATT HOTELS,06/18/2018,-360.14
2018,Public Works,AMERICAN PUBLIC WORKS,06/18/2018,829.00
2018,Health,PETCO 1550    63515506,06/18/2018,106.93
2018,Information Technology Services,PHOTOSPIN.COM,06/18/2018,429.00
2018,Parks and Recreation,WAL-MART #0659,06/18/2018,-145.68
2018,Metro Action Commission,HYATT HOTELS,06/18/2018,-360.14
2018,Public Works,SOUTHWEST AIRLINES,06/18/2018,278.96
2018,Water Services,GARDENS OF BABYLON,06/18/2018,61.72
2018,Information Technology Services,4IMPRINT,06/18/2018,307.22
2018,Metro Clerk,UT IPS ONLINE,06/18/2018,50.00
2018,Office of Family Safety,PRZCHARGE.PREZI.COM,06/18/2018,228.00
2018,Water Services,GARDENS OF BABYLON,06/18/2018,185.69
2018,Parks and Recreation,RIVERGATE SKATE CENTER,06/18/2018,132.00
2018,Parks and Recreation,RIVERGATE SKATE CENTER,06/18/2018,132.00
2018,Health,AGENT FEE 89007366462475,06/18/2018,35.00
2018,Health,SOUTHWEST AIRLINES,06/18/2018,319.96
2018,Planning,PLAZA ARTIST MATER,06/18/2018,61.53
2018,Library,THE HOME DEPOT #0732,06/18/2018,55.70
2018,Health,SOUTHWEST AIRLINES,06/18/2018,321.96
2018,Police,MISTER CAR WASH #84QPS,06/18/2018,7.00
2018,Police,PIZZA HUT 438300043836,06/18/2018,234.00
2018,Police,WASH ME EXPRESS- NASHV,06/18/2018,18.00
2018,Health,AGENT FEE 89007366539792,06/18/2018,35.00
2018,Police,CHICK-FIL-A #03927,06/18/2018,61.00
2018,Office of Family Safety,VIZZLO.COM,06/18/2018,132.00
2018,Finance,ASSOCIATION OF GOVERNM,06/18/2018,875.00
2018,Parks and Recreation,5411 DOMINOS PIZZA,06/18/2018,114.99
2018,Water Services,KROGER #541,06/18/2018,56.95
2018,Farmers Market,SQU SQ  FRESH AND LOCA,06/18/2018,7.50
2018,Farmers Market,SIMON'S PRODUCE,06/18/2018,60.00
2018,Public Works,CAMBRIA NASHVILLE,06/15/2018,418.95
2018,State Trial Courts,DOUBLETREE,06/15/2018,295.20
2018,Police,BURGER REPUBLIC-GULCH,06/15/2018,480.00
2018,Health,HAMPTON INN HOTELS,06/15/2018,157.07
2018,Health,AMAZONPRIME MEMBERSHIP,06/15/2018,-12.99
2018,Planning,FIREHOUSE SUBS #56,06/15/2018,69.56
2018,State Trial Courts,DOUBLETREE,06/15/2018,295.20
2018,Health,DOUBLETREE,06/15/2018,1090.45
2018,Police,KROGER #502,06/15/2018,35.73
2018,Health,HAMPTON INN HOTELS,06/15/2018,157.07
2018,Parks and Recreation,GOLD MEDAL TENNESSEE,06/15/2018,11.85
2018,Library,ALPHABET SIGNS,06/15/2018,222.50
2018,Parks and Recreation,AMERICAN RED CROSS,06/15/2018,20.00
2018,Metro Action Commission,CLUB QUATERS WACKER,06/15/2018,466.66
2018,Metro Action Commission,CLUB QUATERS WACKER,06/15/2018,466.66
2018,Police,SAMS CLUB #8294,06/15/2018,170.54
2018,State Trial Courts,291081455,06/15/2018,-2.22
2018,Police,THE UPS STORE #3429,06/15/2018,250.00
2018,Public Works,CAMBRIA NASHVILLE,06/15/2018,424.88
2018,Police,SUBWAY        00032748,06/15/2018,766.40
2018,Tennessee State Fair,THE HOME DEPOT #0732,06/15/2018,193.51
2018,Public Works,CAMBRIA NASHVILLE,06/15/2018,418.95
2018,District Attorney,AGENT FEE 89071963352584,06/15/2018,28.00
2018,Farmers Market,TST  JENI S SPLENDID I,06/15/2018,112.00
2018,Tennessee State Fair,EMPIRE INDUSTRIES,06/15/2018,982.00
2018,Police,SOUTHWEST AIRLINES,06/15/2018,337.96
2018,Public Works,CAMBRIA NASHVILLE,06/15/2018,418.95
2018,Library,LOWES #02725,06/15/2018,28.13
2018,Parks and Recreation,AMERICAN RED CROSS,06/15/2018,20.00
2018,Health,NASHVILLEPRIDE.ORG,06/15/2018,400.00
